Data,Volume
scan_06-002_Segm,86829.76621116001
scan_08-016_Segm,11042.08322148
scan_09-001_Segm,18878.339317320002
scan_10-007_Segm,17160.492737160002
scan_10-013_Segm,21514.70408544
scan_10-015_Segm,58000.024898640004
scan_10-016_Segm,65948.84913491999
scan_13-006_Segm,9252.34438356
scan_15-001_Segm,59057.59784832
scan_17-001_Segm,190892.863368
scan_17-003_Segm,27586.76201388
scan_17-004_Segm,81864.47067192
scan_17-005_Segm,24893.640200160004
scan_17-008_Segm,263420.80003871996
scan_17-009_Segm,622656.95255784
scan_17-010_Segm,53187.02743176
scan_17-011_Segm,151144.95838356
scan_17-012_Segm,256256.16898248
scan_19-002_Segm,158645.4019596
scan_19-003_Segm,43981.03463544
scan_19-004_Segm,231983.07248088002
scan_19-005_Segm,125409.42200700002
scan_19-006_Segm,274313.42304012
scan_19-029_Segm,77147.96018256001
scan_97_807523_Segm,20354.02250292
scan_97_866490_Segm,6239.491212960001
scan_98_AK_36_Segm,71772.12201348001
scan_98_AK_41_Segm,15772.78297224
scan_98_AK_46_Segm,158302.02183372
scan_98_AK_6_Segm,62328.6955764
scan_98_SP_106_Segm,144977.35942836
scan_98_SP_111_Segm,45419.8257414
scan_98_SP_20_Segm,104889.85812108
scan_98_SP_44_Segm,53374.32568224
scan_98_SP_7_Segm,27810.952344
scan_98_SP_89_2_Segm,113389.22569968
scan_99_1019_Segm,7607.33601192
scan_99_1114_Segm,91321.14041964
scan_99_1336_Segm,39175.60477464
scan_99_1608_Segm,96958.06099848
scan_99_1632_Segm,76339.17228276
scan_99_1725_Segm,147364.93914660002
scan_99_20150811_2032_Segm,110780.2935036
scan_99_20150920_0022_Segm,64049.38000884001
scan_99_20160618_1735_Segm,147287.37118428
scan_99_20160723_1920_Segm,142273.83215628
scan_99_20170401_1202_Segm,133237.16454599999
scan_99_2208_Segm,4203.80517744
