Data,Volume
scan_06-002_Segm,76055.38705476001
scan_08-016_Segm,13152.49936704
scan_09-001_Segm,14713.318121040002
scan_10-007_Segm,19186.719265080003
scan_10-013_Segm,40518.85485384001
scan_10-015_Segm,73230.7780854
scan_10-016_Segm,49013.49267864
scan_13-006_Segm,16977.92424048
scan_15-001_Segm,102069.97890552
scan_17-001_Segm,238328.51017896002
scan_17-003_Segm,24778.23420744
scan_17-004_Segm,66215.60724924001
scan_17-005_Segm,30025.423073160004
scan_17-008_Segm,254471.15989836
scan_17-009_Segm,604038.7496995201
scan_17-010_Segm,63541.40445072
scan_17-011_Segm,161966.63507796
scan_17-012_Segm,254439.94352328003
scan_19-002_Segm,203540.2250292
scan_19-003_Segm,55260.551497680004
scan_19-004_Segm,186932.16753588
scan_19-005_Segm,176621.30425188
scan_19-006_Segm,250798.03309728001
scan_19-029_Segm,87086.11886712
scan_97_807523_Segm,31001.644257480002
scan_97_866490_Segm,5310.56756664
scan_98_AK_36_Segm,93712.50394092001
scan_98_AK_41_Segm,13839.2596188
scan_98_AK_46_Segm,176224.95088344
scan_98_AK_6_Segm,141820.72174224
scan_98_SP_106_Segm,188621.63559324
scan_98_SP_111_Segm,64837.35699192
scan_98_SP_20_Segm,114548.96133144
scan_98_SP_44_Segm,69322.10954508
scan_98_SP_7_Segm,44385.901560720005
scan_98_SP_89_2_Segm,109752.99097824
scan_99_1019_Segm,16128.460458000001
scan_99_1114_Segm,107480.81725272001
scan_99_1336_Segm,31297.726845360005
scan_99_1608_Segm,82172.85061968
scan_99_1632_Segm,36091.80529704
scan_99_1725_Segm,172858.31212860002
scan_99_20150811_2032_Segm,104180.39505108
scan_99_20150920_0022_Segm,57911.1055272
scan_99_20160618_1735_Segm,172761.82515108
scan_99_20160723_1920_Segm,133310.94870528
scan_99_20170401_1202_Segm,175100.2154298
scan_99_2208_Segm,9455.72379696
