Data,Volume
scan_06-002_Segm,108630.14742611999
scan_08-016_Segm,16140.75781788
scan_09-001_Segm,5683.27216608
scan_10-007_Segm,9346.93945956
scan_10-013_Segm,12575.46940344
scan_10-015_Segm,75392.275572
scan_10-016_Segm,41249.12884056
scan_13-006_Segm,10700.59499712
scan_15-001_Segm,129932.01259056001
scan_17-001_Segm,215065.68908904
scan_17-003_Segm,33298.41270276
scan_17-004_Segm,87903.42032376
scan_17-005_Segm,27937.709745840002
scan_17-008_Segm,313778.48874732
scan_17-009_Segm,716575.6737644401
scan_17-010_Segm,53252.2980342
scan_17-011_Segm,165370.16591244
scan_17-012_Segm,294729.87829320005
scan_19-002_Segm,331522.6331034
scan_19-003_Segm,55175.41592928
scan_19-004_Segm,271784.89665864
scan_19-005_Segm,165919.76330400002
scan_19-006_Segm,377043.67557612003
scan_19-029_Segm,39971.1493638
scan_97_807523_Segm,9817.07698728
scan_97_866490_Segm,4690.02386808
scan_98_AK_36_Segm,88038.69128244
scan_98_AK_41_Segm,12233.03522832
scan_98_AK_46_Segm,256430.22392232003
scan_98_AK_6_Segm,178876.45086372
scan_98_SP_106_Segm,156281.47101036
scan_98_SP_111_Segm,31860.567547560004
scan_98_SP_20_Segm,116370.86249520001
scan_98_SP_44_Segm,100932.00014124
scan_98_SP_7_Segm,34669.095354000005
scan_98_SP_89_2_Segm,171611.54902692002
scan_99_1019_Segm,4574.61787536
scan_99_1114_Segm,85490.299935
scan_99_1336_Segm,62689.10281596
scan_99_1608_Segm,88154.09727516
scan_99_1632_Segm,63285.05179476
scan_99_1725_Segm,159776.75906856
scan_99_20150811_2032_Segm,39178.442626920005
scan_99_20150920_0022_Segm,50076.74133288
scan_99_20160618_1735_Segm,160011.35485704002
scan_99_20160723_1920_Segm,143023.0251582
scan_99_20170401_1202_Segm,224150.60018808002
scan_99_2208_Segm,9658.1572596
